# NAAIM Exposure Index: weekly survey of active managers' US equity exposure (-200% to +200%), by survey date.
# Source: National Association of Active Investment Managers (naaim.org): USE_Data-since-Inception_2026-07-29.xlsx,
# the last free full-history file before subscription access began on 2026-08-01. The index is the survey mean
# (the file's Mean/Average column, which NAAIM's own table shows as the NAAIM Number). Personal use.
week,naaim,bearish,quartile1,median,quartile3,bullish,deviation
2013-11-06,84.81,0,62,100,100,150,29.76
2013-11-13,80.67,-100,72.5,98,100,150,53.72
2013-11-20,87.43,-100,73.25,100,100,150,47.32
2013-11-27,101.45,50,95,100,106.56,163,26.85
2013-12-04,94.75,0,87.25,100,100,163,30.23
2013-12-11,100.69,0,86.5,100,118.97,165,35.63
2013-12-18,94.35,0,89.75,100,100,165,29.56
2013-12-26,98.94,50,95,100,100,165,25.49
2014-01-02,95.03,25,90.5,100,100,165,29.44
2014-01-08,92.27,0,91,100,100,170,36.87
2014-01-15,96.83,15,95,100,100,170,33.54
2014-01-22,95.13,10,86,100,100,170,33.28
2014-01-29,70.94,-125,65,82,100,120,48.68
2014-02-05,50.97,-125,31.25,55,80,135,48.9
2014-02-12,73.26,-125,60,80,100,150,50.46
2014-02-19,75.95,-125,60,80,100,200,53.89
2014-02-26,91.62,40,77.5,90,100,200,32.17
2014-03-05,89.06,15,76.25,97.8,100,162,28.18
2014-03-12,85.2,-50,71.5,94.78,100,160,38.59
2014-03-18,67.77,-200,57.5,80,100,200,62.43
2014-03-19,89.84,0,70,97,100,200,38.47
2014-03-26,91.12,30,71.25,95.5,100,175,30.02
2014-04-02,91.43,-50,65,85,100,200,44.19
2014-04-09,85.21,0,66,90,100,150,31.32
2014-04-16,75.92,0,55,75,100,167,35.61
2014-04-23,76.58,-50,60,80,100,167,35.38
2014-04-30,82.63,-50,59.25,85,100,210,45.8
2014-05-07,76.81,-9,50,78,100,177,37.4
2014-05-14,78.18,0,58.75,81.5,100,177,30.36
2014-05-21,67.23,-125,50,75,100,177,46.93
2014-05-28,72.52,-125,52.75,87.5,100,200,56.38
2014-06-04,90.86,0,67.5,90,100,200,42.35
2014-06-11,87.3,0,70,95,100,200,38.37
2014-06-18,88.59,-50,68.75,97.5,100,200,44.31
2014-06-25,88.15,-100,70,100,109.48,200,60.45
2014-07-02,85.48,-50,67,95,100,200,47.5
2014-07-09,82.47,0,64.5,100,100,150,35.06
2014-07-16,81.91,-50,67.75,97.5,100,150,44.72
2014-07-23,82.75,-50,70,91.5,100,170,39.31
2014-07-30,81.62,-50,70,89,100,150,34.47
2014-08-06,50.87,-125,35,50,80,200,51.8
2014-08-13,50.61,-125,27.25,62.5,82.25,100,45.92
2014-08-20,56.77,-125,29.25,68,85.19,200,62.56
2014-08-27,78.84,-50,61.25,86.5,100,200,47.66
2014-09-03,82.49,-100,55.5,80,100,202.2,59.21
2014-09-10,63.63,-125,46.25,75,95,200,57.33
2014-09-17,67.08,-125,50,75,95,200,49.13
2014-09-24,59.76,-125,50,66,91.73,200,55.54
2014-10-01,41.03,-125,14,50,83.75,200,66.81
2014-10-08,33.14,-150,17.75,50,63.75,200,66.57
2014-10-15,9.97,-200,0,30,50,85,67.69
2014-10-22,41.38,-200,10,50,81,150,62.31
2014-10-29,74.78,-125,50,80,96,200,65.53
2014-11-05,77.68,-125,60,80,100,200,62.91
2014-11-12,85.43,-125,65.5,86.5,100,200,59.75
2014-11-19,72.06,-125,52.5,77.5,99.04,200,54.69
2014-11-25,86.78,-200,80,100,107.86,200,64.44
2014-12-03,86.06,-100,70,90,100,200,53.37
2014-12-10,89.01,-100,70,99,100,200,52.55
2014-12-17,65.12,-125,50,80,99.5,200,61.82
2014-12-24,90.59,0,75,95,100,180,32.71
2014-12-31,95.86,0,72.5,100,103.26,200,43.31
2015-01-07,71.11,-200,62.5,85,100,200,73.52
2015-01-14,87.13,-50,66.25,84,100,200,53.38
2015-01-21,89.01,-100,70,99,100,200,52.55
2015-01-28,92.62,0,72.5,95,100,200,39.2
2015-02-04,88.24,0,72.5,95.13,100,200,44.06
2015-02-11,84.05,0,68,93.5,100,200,37.01
2015-02-18,87.81,0,73.75,92,100,200,42.56
2015-02-25,99.23,-50,81,100,107.75,200,45.4
2015-03-04,92.15,-50,76.25,98.5,100,200,48.21
2015-03-11,65.68,-200,40.25,74.5,98.75,200,67.38
2015-03-25,84.32,0,72.5,90,100,175,30.96
2015-04-01,75.86,-100,71.25,85,100,200,54.5
2015-04-08,86.73,0,80,95,100,150,28.29
2015-04-15,86.67,0,77.5,94,100,200,40.54
2015-04-22,75.88,-200,69.75,90,100,165,59.57
2015-04-29,90.6,0,80,100,100,200,34.27
2015-05-06,80.3,-50,63,87,100,200,56.96
2015-05-13,60.38,-150,50,82.98,97,100,54.76
2015-05-20,67.61,-150,50,80,100,200,55.76
2015-05-27,65.5,-150,50,80,100,200,59.14
