# AAII Investor Sentiment Survey: weekly bullish / neutral / bearish percentages by reported date (Thursday).
# Source: American Association of Individual Investors (aaii.com), sentiment.xls saved 2026-09-19. Personal use.
reported,bullish,neutral,bearish
1998-05-14,33.00,41.00,26.00
1998-05-21,38.00,39.00,23.00
1998-05-28,34.00,40.00,26.00
1998-06-04,25.00,44.00,31.00
1998-06-11,27.00,49.00,24.00
1998-06-18,29.00,38.00,33.00
1998-06-25,28.00,44.00,28.00
1998-07-02,33.00,48.00,19.00
1998-07-09,36.00,44.00,20.00
1998-07-16,35.00,44.00,21.00
1998-07-23,37.00,39.00,24.00
1998-07-30,44.00,36.00,20.00
1998-08-06,30.00,44.00,26.00
1998-08-13,27.00,38.00,35.00
1998-08-20,25.00,42.00,33.00
1998-08-27,23.00,32.00,45.00
1998-09-03,23.00,37.00,40.00
1998-09-10,29.00,31.00,40.00
1998-09-17,34.00,35.00,31.00
1998-09-24,34.00,38.00,28.00
1998-10-01,32.00,35.00,33.00
1998-10-08,25.00,43.00,32.00
1998-10-15,25.00,34.00,41.00
1998-10-22,32.00,35.00,33.00
1998-10-29,43.00,36.00,21.00
1998-11-05,38.00,42.00,20.00
1998-11-12,50.00,36.00,14.00
1998-11-19,40.00,42.00,18.00
1998-11-25,48.00,35.00,17.00
1998-12-03,49.00,30.00,21.00
1998-12-10,44.00,30.00,26.00
1998-12-17,41.00,34.00,25.00
1998-12-23,34.00,34.00,32.00
1998-12-31,41.00,37.00,22.00
1999-01-07,38.00,39.00,23.00
1999-01-14,51.00,28.00,21.00
1999-01-21,56.00,24.00,20.00
1999-01-28,47.00,33.00,20.00
1999-02-04,48.00,38.00,14.00
1999-02-11,48.00,35.00,17.00
1999-02-18,37.00,39.00,24.00
1999-02-25,37.00,39.00,24.00
1999-03-04,36.00,45.00,19.00
1999-03-11,37.00,42.00,21.00
1999-03-18,48.00,31.00,21.00
1999-03-25,38.00,33.00,29.00
1999-04-01,40.00,35.00,25.00
1999-04-08,36.00,38.00,26.00
1999-04-15,41.00,31.00,28.00
1999-04-22,38.00,32.00,30.00
1999-04-29,41.00,32.00,27.00
1999-05-06,54.00,32.00,14.00
1999-05-13,43.00,31.00,26.00
1999-05-20,43.00,31.00,26.00
1999-05-27,38.00,42.00,20.00
1999-06-03,32.00,36.00,32.00
1999-06-10,32.00,40.00,28.00
1999-06-17,38.00,35.00,27.00
1999-06-24,30.00,39.00,31.00
1999-07-01,35.00,38.00,27.00
1999-07-08,43.00,36.00,21.00
1999-07-15,54.00,28.00,18.00
1999-07-22,55.00,23.00,22.00
1999-07-29,42.00,38.00,20.00
1999-08-05,30.00,46.00,24.00
1999-08-12,30.00,40.00,30.00
1999-08-19,31.00,46.00,23.00
1999-08-26,35.00,40.00,25.00
